Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2LnqNMmpotmzwxwPggfnco,"01Er12nK5rrnHx8usFPJAs","Troubadour","Medieval Times","Derek Fiechter",2015-06-27,196000,34,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T04:11:37Z,"middle earth",0.765,0.304,2,-13.509,1,0.0896,0.918,0.902,0.111,0.858,119.992,3
5s16hfHfTVVIrQgN5F87LE,"01Er12nK5rrnHx8usFPJAs,2XDOBQOobSTxtmFhWKdm6x","Brown Fox Inn","Inns and Villages","Derek Fiechter,Brandon Fiechter",2015-05-30,222800,44,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T04:13:33Z,"middle earth",0.598,0.31,2,-14.852,0,0.0268,0.614,0.789,0.246,0.415,150.005,3
0OLDTfpFTzzs9ZOGZpl1Z4,"01Er12nK5rrnHx8usFPJAs","Red Dragon's Inn","World of Wonders","Derek Fiechter",2014-01-24,258026,37,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T04:16:23Z,"middle earth",0.368,0.639,4,-14.413,0,0.0411,0.0374,0.848,0.0498,0.977,120.035,4
3q79jp15s3gBLddLosTPP5,"01Er12nK5rrnHx8usFPJAs,2XDOBQOobSTxtmFhWKdm6x","Sir Gawain's Inn","Inns and Villages","Derek Fiechter,Brandon Fiechter",2015-05-30,216333,39,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T04:22:40Z,"middle earth",0.569,0.203,0,-17.381,0,0.0298,0.886,0.968,0.0847,0.817,180.006,3
3rcaScJUcr13IeJ8mwpOon,"01Er12nK5rrnHx8usFPJAs,2XDOBQOobSTxtmFhWKdm6x","Sword in the Stone","Medieval Times","Derek Fiechter,Brandon Fiechter",2015-06-27,205961,32,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T06:12:20Z,"middle earth",0.548,0.391,2,-14.457,0,0.0268,0.847,0.774,0.127,0.767,103.962,4
3avYxJBdP0VP0bj1JvRx0U,"7Ho9ldCZU5NDAvEvWU56Wv","French Ballad from Time Hundred Years' War","Fantasy On Medieval Music of England, France, Italy, Spain for Early Renaissance Lute","Andrei Krylov",2013-08-15,144872,34,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T06:18:03Z,"classical guitar,sleep",0.494,0.289,4,-14.654,0,0.0412,0.993,0.91,0.107,0.418,112.048,3
0H6ctkG1ey61l1BPjbbo4i,"01Er12nK5rrnHx8usFPJAs","Darkwood Forest","Camelot","Derek Fiechter",2014-07-29,240000,36,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T06:18:52Z,"middle earth",0.718,0.536,11,-14.468,0,0.0318,0.956,0.82,0.0921,0.448,169.845,4
0Patwsuj4zw4A2ODVMnR7G,"2XDOBQOobSTxtmFhWKdm6x","Quest for the Holy Grail","Camelot","Brandon Fiechter",2014-07-29,223200,34,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T06:24:34Z,"middle earth",0.578,0.493,9,-13.095,0,0.0308,0.541,0.957,0.0957,0.576,100.032,3
0HbFQrMveplh4wklIQWAae,"01Er12nK5rrnHx8usFPJAs","Blacksmith's Forge","Camelot","Derek Fiechter",2014-07-29,206619,34,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T06:27:28Z,"middle earth",0.793,0.365,4,-9.814,0,0.0336,0.694,0.486,0.198,0.678,142.019,3
5rI74qbliNbhkpMUSJsh8M,"2XDOBQOobSTxtmFhWKdm6x","Cobblestone Village","Camelot","Brandon Fiechter",2014-07-29,258750,37,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T06:43:25Z,"middle earth",0.651,0.224,4,-13.106,0,0.0303,0.979,0.841,0.12,0.75,160.029,3
